# Release OB9.11
#
#  productButtonInfo.txt
#
#  This table describes product buttons. A product button, when 
#  pressed, loads a depict key that matches the current scale.
#
#  Each product button key must be unique. List it in the first column.
#
#  Each product button maps to a depict key indexed by scale. It is
#  assumed by default that the user is providing a list of depict keys
#  for each scale, starting with scale 0. If all that is provided is
#  plain depict keys, the last key provided will be repeated if fewer
#  keys are provided than there are scales.  Exception: A tag "^1" means
#  to keep adding keys until all scales are filled, incrementing by one
#  for each scale. Similarly, "v1" means the same, but decrement.
#
#  The user may change this default interpretation of key lists by
#  providing fields that begin with a less than (<) or greater than (>)
#  symbol. Numbers that follow these symbols are assumed to be distances
#  in km if they contain a decimal point or are larger than twice the
#  number of scales; otherwise they are assumed to be scale indices. A
#  scale index of -1 means the last scale, -2 the second to last, etc.
#  A < precedes the minimum distance or the first scale index to
#  associate with a depict key. A > precedes the maximum distance or the
#  last scale index to use.
#
#  A key that immediately follows one or more distances is assigned to
#  all scales having sizes between the maximum and minimum distances.
#  These default to 1e37 and 0, respectively, so it is meaningful to
#  just provide one distance. This leaves the scale index set to the
#  next scale after the last one assigned in this manner. A key that
#  immediately follows one or more scale indices will be assigned to
#  that range of scale indices. The last scale index defaults to 0 and
#  the first scale index defaults to whichever scale would normally be
#  assigned next. A key will always at a minimum be assigned to the first
#  scale index.
#
#  Mixing scale indices and distances between depict keys is not
#  recommended as the result is not well defined.
#
#  For example, if there are 5 scales, and a product button has depict
#  keys (101, 101, 101), then we assume that the fourth and fifth
#  scales are also 101.  If a product button has depict keys (101,
#  105, 109), then we assume the fourth and fifth are 0 and 0.
#
#  Also, if a product button should be disabled at a certain scale,
#  list a zero for the depict key.
#
#  List the button label in the third column. List the toggle menu
#  label (which currently isn't used) in the fourth column. (Labels for
#  plots and history list are found in depictInfo.)
#
#  Finally, put a `y', `Y', or a `1' in the fifth column if this is a
#  static entry.  A static entry is one that appears with no green
#  time in the menus.  Nonstatic entries have green times that get
#  registered for auto-updates with the notification server.
#
#
# ProdBtn |  Sequence of depict keys, one    |    Button                  |                           |
#   Key   |  for each scale key              |    label                   |      toggle menu label    | static
11109     |  11109                           |North Douglas AK (DGNAK)               |DGNAK Prof      | 0
11110     |  11110                           |South Douglas AK (DGSAK)               |DGSAK Prof      | 0
11111     |  11111                           |Tower Grid UT (DGWUT)                  |DGWUT Prof      | 0
11112     |  11112                           |Ellington Fld TX (EFDTX)               |EFDTX Prof      | 0
11113     |  11113                           |El Paso TX (EPSTX)                     |EPSTX Prof      | 0
11114     |  11114                           |Cape Canaveral-False Cape FL (FCPFL)   |FCPFL Prof      | 0
11115     |  11115                           |CMO AZ (FHHAZ)                         |FHHAZ Prof      | 0
11116     |  11116                           |Ft Meade MD (FMEMD)                    |FMEMD Prof      | 0
11117     |  11117                           |Ft Huachuca AZ (FTHAZ)                 |FTHAZ Prof      | 0
11118     |  11118                           |Grass Valley CA (GVYCA)                |GVYCA Prof      | 0
11119     |  11119                           |Gray ME (GYXME)                        |GYXME Prof      | 0
11120     |  11120                           |Horizontal Grid UT (HGDUT)             |HGDUT Prof      | 0
11121     |  11121                           |Hazmat Spill Center NV (HSCNV)         |HSCNV Prof      | 0
11122     |  11122                           |Cape Canaveral-50 MHz (KSCFL)          |KSCFL Prof      | 0
11123     |  11123                           |Los Angeles CA (LAXCA)                 |LAXCA Prof      | 0
11124     |  11124                           |Lost Hills CA (LHSCA)                  |LHSCA Prof      | 0
11125     |  11125                           |Lemon Creek AK (LMCAK)                 |LMCAK Prof      | 0
11126     |  11126                           |Livermore CA (LVRCA)                   |LVRCA Prof      | 0
11127     |  11127                           |Midway Site NM (MDWNM)                 |MDWNM Prof      | 0
11128     |  11128                           |Cape Canaveral-Merritt (MIDFL)         |MIDFL Prof      | 0
11129     |  11129                           |Cape Canaveral-Mosquito Lagoon (MLNFL) |MLNFL Prof      | 0
11130     |  11130                           |Miramar CA (MMRCA)                     |MMRCA Prof      | 0
11131     |  11131                           |Moreno Valley CA (MOVCA)               |MOVCA Prof      | 0
11132     |  11132                           |Monterey CA (NPSCA)                    |NPSCA Prof      | 0
11133     |  11133                           |Norman OK (NRMOK)                      |NRMOK Prof      | 0
11134     |  11134                           |NW30 NM (NWTNM)                        |NWTNM Prof      | 0
11135     |  11135                           |Ontario CA (ONTCA)                     |ONTCA Prof      | 0
11136     |  11136                           |Oxford KS (OXFKS)                      |OXFKS Prof      | 0
11137     |  11137                           |Pease NH (PSENH)                       |PSENH Prof      | 0
11138     |  11138                           |Point Loma CA (PTLCA)                  |PTLCA Prof      | 0
11139     |  11139                           |Plymouth MA (PYMMA)                    |PYMMA Prof      | 0
11140     |  11140                           |Raleigh NC (RALNC)                     |RALNC Prof      | 0
11141     |  11141                           |Richmond VA (RCHVA)                    |RCHVA Prof      | 0
11142     |  11142                           |Cape Canaveral-TI-CO (RCOFL)           |RCOFL Prof      | 0
11143     |  11143                           |New Brunswick NJ (RUTNJ)               |RUTNJ Prof      | 0
11144     |  11144                           |Sacramento CA (SACCA)                  |SACCA Prof      | 0
11145     |  11145                           |Schenectady NY (SCHNY)                 |SCHNY Prof      | 0
11146     |  11146                           |Cape Canaveral-South Cape (SCPFL)      |SCPFL Prof      | 0
11147     |  11147                           |Seattle WA (SEAWA)                     |SEAWA Prof      | 0
11148     |  11148                           |Simi Valley CA (SIMCA)                 |SIMCA Prof      | 0
11149     |  11149                           |San Nicholas CA (SNICA)                |SNICA Prof      | 0
11150     |  11150                           |Stow MA (STWMA)                        |STWMA Prof      | 0
11151     |  11151                           |Tulag NM (TLGNM)                       |TLGNM Prof      | 0
11152     |  11152                           |Visalia CA (VISCA)                     |VISCA Prof      | 0
11153     |  11153                           |Whitewater KS (WHWKS)                  |WHWKS Prof      | 0
11154     |  11154                           |Yuma AZ (YUMAZ)                        |YUMAZ Prof      | 0
11901     |  11901                           |Lemon Creek AK (LMNA2)      |LMNA2 Prof                 | 0
11902     |  11902                           |North Douglas Is AK (NDIA2) |NDIA2 Prof                 | 0
11903     |  11903                           |South Douglas Is AK (SDIA2) |SDIA2 Prof                 | 0
12000     |  12000                           |WarnGen                     |WarnGen                    | 1
12002     |  12002                           |Baselines                   |Interactive Baselines      | 1
12003     |  12003                           |Points                      |Interactive Points         | 1
12004     |  12004                           |Home                        |Home Location              | 1
12005     |  12005                           |Distance Bearing            |Distance Bearing           | 1
12006     |  12006                           |Distance Speed              |Distance Speed             | 1
112006    |  112006                          |Feature Following Zoom      |Feature Zoom               | 1
12007     |  12007                           |AlertArea1Editor            |Alert Area 1 Editor        | 1
12008     |  12008                           |AlertArea2Editor            |Alert Area 2 Editor        | 1
// >100k for auto radar menus
112009    |  12020                           |VR - Shear                  |VR - Shear                 | 1
//12021     |  12021                           |VR - Shear 2                |VR - Shear 2               | 1
//12022     |  12022                           |VR - Shear 3                |VR - Shear 3               | 1
//12023     |  12023                           |VR - Shear 4                |VR - Shear 4               | 1
12010     |  12010                           |Laps Tool                   |Laps Tool Editable         | 1
12014     |  12014                           |Az/Ran Overlay              |Az/Ran Overlay Editable    | 1
12015     |  12015                           |Home/88D                    |Home/88D Editable          | 1
12016     |  12016                           |Solidfill                   |Solidfill                  | 1
12019     |  12019                           |Range Rings                 |Range Rings                | 1
// >100k for auto radar menus
112035    |  12035                           |Estimated Actual Velocity   |EAV                        | 1
100101    | <1200, 2181357608                |Temperature                 |Laps Temp                  | 0
100102    | <1200, 2181357656                |Rel Humidity                |Laps Rel Hum               | 0
100103    | <1200, 2181357592                |MSL Pressure                |Laps MSLP                  | 0
100104    | <1200, 2182103040                |1500m Pressure              |Laps 1500m Pres            | 0
100105    | <1200, 2181357624                |Dewpoint                    |Laps Td                    | 0
100106    | <1200, 2181357616                |Pot Temp                    |Laps Theta                 | 0
100107    | <1200, 2181357632                |Equiv Pot Temp              |Laps Theta E               | 0
100108    | <1200, 2181357712                |Lifted Index                |Laps LI                    | 0
100109    | <1200, 2181357664                |Precip Water                |Laps Prec H2O              | 0
100110    | <1200, 2181357680                |1hr Precip                  |Laps 1hr Precip            | 0
100111    | <1200, 2181357960                |Storm Total Precip          |Laps Stm Total Prec        | 0
100112    | <1200, 2181357651                |Wind                        |Laps Wind                  | 0
100113    | <1200, 2181358112                |CAPE                        |LAPS CAPE                  | 0
100114    | <1200, 2181358120                |CIN                         |LAPS CIN                   | 0
100115    | <1200, 2181357816                |Moisture Advection          |LAPS q Advect              | 0
100116    | <1200, 2181357824                |Moisture Flux Div           |LAPS q flux Div            | 0
100117    | <1200, 2181357832                |Theta-E Convergence         |LAPS Th-e Conv             | 0
100118    | <1200, 2181357808                |Temp Advection              |LAPS T Advect              | 0
100119    | <1200, 2181358152                |Helicity                    |LAPS Helicity              | 0
100120    | <1200, 2181357792                |Computed LI                 |LAPS Computed LI           | 0
100121    | <1200, 2181358104                |CSSI                        |LAPS CSSI                  | 0
100122    | <1200, 2181357928                |Relative Vorticity          |LAPS Rel Vort              | 0
100123    | <1200, 2181358033                |Precip Type                 |LAPS precip type           | 0
100124    | <1200, 2181358160                |1hr Snow                    |LAPS 1hr snow              | 0
100125    | <1200, 2181358168                |Storm Total Snow            |LAPS storm total snow      | 0
100126    | <1200, 2181358176                |Snow Cover                  |LAPS snow cover            | 0
100127    | <1200, 2181358048                |Cloud Cover                 |LAPS cloud cover           | 0
2474960040 |  <2500, 2474960040 |72hr Mosaic |RFC QPF Mosaic | 0
2474960048 |  <2500, 2474960048 |24hr AKRFC QPF |AKRFC QPF | 0
2474960056 |  <2500, 2474960056 |24hr SERFC QPF |SERFC QPF | 0
2474960064 |  <2500, 2474960064 |24hr WGRFC QPF |WGRFC QPF | 0
2474960072 |  <2500, 2474960072 |24hr MBRFC QPF |MBRFC QPF | 0
2474960080 |  <2500, 2474960080 |24hr NCRFC QPF |NCRFC QPF | 0
2474960088 |  <2500, 2474960088 |24hr LMRFC QPF |LMRFC QPF | 0
2474960096 |  <2500, 2474960096 |24hr NWRFC QPF |NWRFC QPF | 0
2474960104 |  <2500, 2474960104 |24hr MARFC QPF |MARFC QPF | 0
2474960112 |  <2500, 2474960112 |24hr CNRFC QPF |CNRFC QPF | 0
2474960120 |  <2500, 2474960120 |24hr CBRFC QPF |CBRFC QPF | 0
2474960128 |  <2500, 2474960128 |24hr NERFC QPF |NERFC QPF | 0
2474960136 |  <2500, 2474960136 |24hr OHRFC QPF |OHRFC QPF | 0
2474960144 |  <2500, 2474960144 |24hr ABRFC QPF |ABRFC QPF | 0
2567234728 |  0, 0, 2567234728, 2567234728, 2567234728, 2567234728 |HPC QPF 6hr (Grid) |HPC QPF 6hr (Grid)   | 0
3028613848 | 3028613848 | Prob. Temp above normal   | Prob of Temperature Above Normal | 0
3028613864 | 3028613864 | Prob. Temp near normal    | Prob of Temperature Near Normal  | 0
3028613856 | 3028613856 | Prob. Temp below normal   | Prob of Temperature Below Normal | 0
3028613896 | 3028613896 | Prob. Precip above normal | Prob of Precip Above Normal      | 0
3028613912 | 3028613912 | Prob. Precip near normal  | Prob of Precip Near Normal       | 0
3028613904 | 3028613904 | Prob. Precip below normal | Prob of Precip Below Normal      | 0
3028613944 | 3028613944 | Temp Probabilities        | Temperature Probabilities        | 0
3028613952 | 3028613952 | Precip Probabilities      | Precip Probabilities             | 0
3028613960 | 3028613960 | Temp Prob Img             | Temperature Probabilities Image  | 0
3028613968 | 3028613968 | Precip Prob Img           | Precip Probabilities Image       | 0
3154436210 | <2500, 3154436210 |1hr WFO Local MPE     | 1hr WFO Local MPE     | 0
3196379250 | <2500, 3196379250 |1hr RFC Local Mosaic  | 1hr RFC Local Mosaic  | 0
3196379818 | <2500, 3196379818 |6hr RFC Local Mosaic  | 6hr RFC Local Mosaic  | 0
3196379826 | <2500, 3196379826 |24hr RFC Local Mosaic | 24hr RFC Local Mosaic | 0
3213163450 | <2500, 3297050538 |Upper Zone Tension Water Content (%)|Upper zone tension water content (%)|0
3221552066 | <2500, 3297050546 |Upper Zone Free Water Content (%)   |Upper zone free water content (%)|0
3229940682 | <2500, 3297050554 |Lower Zone Tension Water Content (%) |Lower zone tension water content (%) |0
3238329298 | <2500, 3297050562 |Lower Zone Primary Free Water Content (%) |Lower zone primary free water content (%) |0
3246717914 | <2500, 3297050570 |Lower Zone Secondary Free Water Content (%) |Lower zone secondary free water content (%) |0
3255106530 | <2500, 3297050578 |Additional Impervious Area Water Content (%) |Additional impervious area water content (%) |0
3263495146 | <2500, 3297050586 |Hillslope Water Depth (in) |Hillslope water depth (in) |0
3271883765 | <2500, 3297050618 |Channel Routed Flow [Combo] (cfs)|Channel routed flow [Combo] (cfs) |0
3271883762 | <2500, 3297050594 |Channel Routed Flow [Low] (cfs) |Channel routed flow [Low] (cfs) |0
3271883763 | <2500, 3297050602 |Channel Routed Flow [Mid] (cfs) |Channel routed flow [Mid] (cfs) |0
3271883764 | <2500, 3297050610 |Channel Routed Flow [Hi] (cfs)  |Channel routed flow [Hi] (cfs) |0
3313819760 | 0,0,3313819760 |1-3 Day HPC QPF (6-Hourly Grid) |1-3 Day HPC QPF (6-Hourly Grid) | 0
3313821000 | 0,0,3313821000 |4-5 Day HPC QPF (Grid) |4-5 Day HPC QPF (Grid)  | 0
3313821592 | 0,0,3313821592 |1-5 Day HPC Total QPF (Grid) |4-5 Day HPC Total QPF (Grid)  | 0
3313821600 | 0,0,3313821600 |1-3 Day Excessive Rainfall (Grid) |1-3 Day Excessive Rainfall (Grid) | 0
3599034472 | 3599034472 | Prob. Temp above normal | 6-10 day CPCoutlook-CONUS  | 0
3599034480 | 3599034480 | Prob. Temp below normal | 6-10 day CPCoutlook-CONUS  | 0
3599034488 | 3599034488 | Prob. Precip above normal | 6-10 day CPCoutlook-CONUS | 0
3599034496 | 3599034496 | Prob. Precip below normal | 6-10 day CPCoutlook-CONUS | 0
3607423048 | 3607423048 | Prob. Temp above normal | 8-14 day CPCoutlook-CONUS  | 0
3607423056 | 3607423056 | Prob. Temp below normal | 8-14 day CPCoutlook-CONUS  | 0
3607423064 | 3607423064 | Prob. Precip above normal | 8-14 day CPCoutlook-CONUS | 0
3607423072 | 3607423072 | Prob. Precip below normal | 8-14 day CPCoutlook-CONUS | 0
#include "familyProductButtons.txt"
#include "redbookProductButtons.txt"
#include "satProductButtons.txt"
#include "radarProductButtons.txt"
#include "tdlProductButtons.txt"
#include "imgProductButtons.txt"
#include "raobProductButtons.txt"
#include "msasProductButtons.txt"
#include "localProductButtons.txt"
